itemId,rateContent,ItemType,userNick,rateDate,ItemPrice,ItemName,ItemSales
,,,,,1799.00,PPTV 43P 43英寸 全高清 网络智能 互联网液晶平板电视,1512
,,,,,150.00,乐歌 PT-G1 电视固定挂架 32-55英寸【PPTV-55P电视官方定制】,39
,,,,,499.00,PPTV PPBOX 4K盒子 网络高清安卓 机顶盒  黑色,17
,,,,,3699.00,PPTV 55T 55英寸 智能4K 互联网液晶平板电视,9
,,,,,1299.00,PPTV智能电视 32C2 32英寸（黑色）,1
,,,,,1299.00,PPTV PT355家庭影院 电视音响 电视蓝牙功能 Sound Bar,0
,,,,,225.00,PPTV PT-G2 挂架、合金铝材、一体成型【pptv 55T电视定制挂架】,0
,,,,,3599.00,PPTV 55Ppro 55英寸 4K超高清 智能网络WiFi LED液晶电视,83
,,,,,2849.00,Midea/美的大1.5匹变频冷暖空调KFR-35GW/WPAA3家用除湿空调挂机,1941
,,,,,2599.00,Midea/美的KFR-35GW/WPAD3大1.5匹家用定频壁挂式冷暖空调挂机,3010
,,,,,7.50,【苏宁易购】清风 抽纸纸巾原木纯品面纸2层150*4包,456795
,,,,,96.80,【苏宁易购】奥妙净蓝全效洗衣液3KG*2+1KG*3+金纺柔顺502ml*2,10880
,,,,,29.90,【苏宁易购】卫新 香薰洗衣液 索菲亚玫瑰 4.26kg 威露士出品,12121
,,,,,35.90,【苏宁易购】清风 抽纸 淡绿花 原生木浆 2层200抽*20包 整箱,169749
,,,,,25.00,【苏宁易购】 君乐宝 开啡尔 常温 酸奶200g*8 定制包装 数量有限,92855
,,,,,79.00,官方正品小米移动电源10000毫安小巧 大容量手机平板通用充电宝,40145
,,,,,1699.00,Changhong/长虹 43N1 43英寸 网络互动 内置WiFi LED液晶平板电视,963
,,,,,1499.00,Changhong/长虹 KFR-26GW/DHID(W1-J)+2 大1匹定速智能空调挂机,135
,,,,,2899.00,Changhong/长虹 55U3C 55英寸双64位4K安卓智能LED液晶平板电视,94
,,,,,1499.00,Changhong/长虹 39N1 39英寸 网络 内置无线WIFI LED液晶电视,606
,,,,,1799.00,Changhong/长虹 KFR-35GW/DHID(W1-J)+2 大1.5匹定速智能挂机空调,77
,,,,,2399.00,Changhong/长虹 50S1 50英寸 微信TV 安卓智能 LED液晶平板电视,221
,,,,,2799.00,Changhong/长虹 55S1 55英寸 内置wifi12核 安卓智能LED液晶电视,391
,,,,,2499.00,Changhong/长虹 KFR-35GW/DAW1+A2 1.5匹变频空调挂机,3
,,,,,1549.00,Changhong/长虹 KFR-26GW/DAW1+2 大1匹定速空调挂机,1
,,,,,1849.00,Changhong/长虹 KFR-35GW/DAW1+2 1.5匹定速空调挂机,0
,,,,,2849.00,Midea/美的大1.5匹变频冷暖空调KFR-35GW/WPAA3家用除湿空调挂机,1941
,,,,,2599.00,Midea/美的KFR-35GW/WPAD3大1.5匹家用定频壁挂式冷暖空调挂机,3010
,,,,,7.50,【苏宁易购】清风 抽纸纸巾原木纯品面纸2层150*4包,456795
,,,,,96.80,【苏宁易购】奥妙净蓝全效洗衣液3KG*2+1KG*3+金纺柔顺502ml*2,10880
,,,,,29.90,【苏宁易购】卫新 香薰洗衣液 索菲亚玫瑰 4.26kg 威露士出品,12121
,,,,,35.90,【苏宁易购】清风 抽纸 淡绿花 原生木浆 2层200抽*20包 整箱,169749
