Comment,Like,Transfer,Co_oridinates,id,Content,PubTime,Tools,ID
2,0,0,,5728706733-M_DnuGYzafq,交一个朋友需要几年，几十年。可得罪一个朋友只需要几分钟。一件事。多一份思考，少一份失误。,03月23日 01:03 ,iPhone 6,5728706733
0,0,0,,5728706733-M_DgplBqjbD,一不小心又中奖了！(≖ ‿ ≖)✧我在一个狠不着掉的男人 的红包中抽到了,02月05日 10:35 ,粉丝红包,5728706733
0,2,0,,5728706733-M_Dg2NSwNaU,原来一切都是我的错！[伤心,02月03日 01:11 ,iPhone 6,5728706733
0,1,0,,5728706733-M_Dg2MY3drh,在等待的日子里，刻苦读书，谦卑做人，养得深根，日后才能枝叶茂盛。,02月03日 01:09 ,iPhone 6,5728706733
0,1,0,,5728706733-M_DeYjXygI9,不可能的事，别想，不可能的人，别看。明知道不会有任何结果，还泥足深陷，就是你活该。,01月26日 23:56 ,iPhone 6,5728706733
0,1,0,"23.394831,113.227043",5728706733-M_DdL4fvXSv,Boomshakalaka… ,01月19日 00:22 ,iPhone 6,5728706733
0,0,0,,5728706733-M_DdvC3qWKm,原来我未来的另一半长得像【边伯贤】，有点准哦！！,01月17日 09:01 ,爱图购官网,5728706733
0,0,0,,5728706733-M_Db8qW8dHz,姑娘，你那么努力，不是为了嫁给世俗传说的如意郎君；你那么优秀，不是为了给娃当个娘就算了，你从不欠别人一段恋爱，也不欠任何人一个孩子，你只欠自己一个幸福的模样 。[拳头,01月01日 18:20 ,iPhone 6,5728706733
0,0,0,,5728706733-M_Db8pj1BOP,接吻的和谐号[爱你,01月01日 18:16 ,iPhone 6,5728706733
1,1,0,"23.13962,113.316811",5728706733-M_DagdOxMFj,2015就要过去了，今年还有什么遗憾的事情吗？ ,2015-12-27 00:19:42 ,iPhone 6,5728706733
51,404,13,"24.942228,121.205269",2103050415-M_DlLonaZNj,牠是四支小雞其中一支。不要等待一個完美的時刻，抓住一個瞬間，把它變成一個完美。 ,03月11日 15:54 ,iPhone 6s,2103050415
82,762,35,"24.779278,121.252556",2103050415-M_DlFNxkZH1,生命在宇宙繼起之生命。 ,03月11日 01:39 ,iPhone 6s,2103050415
28,282,10,"24.779411,121.253014",2103050415-M_DllfZFgDI,三月八日婦女節！願天下女人的事情，都可以被男人尊重。謀得更良好的兩性關係。 ,03月08日 21:22 ,iPhone 6s,2103050415
87,414,69,"39.945919,116.46888",2103050415-M_Dk8pD6MQv,三月二日到六日在北京首都剧場再度演出：冬之旅。歡迎參觀指教。 ,02月29日 22:49 ,iPhone 6s,2103050415
90,369,8,"24.77952,121.25309",2103050415-M_DgKU5CovB,祝大家在2016年身體健康、精神愉快。事業順利、家庭幸福。李立群恭祝。 ,02月07日 17:28 ,iPhone 6s,2103050415
51,348,10,"24.779409,121.253029",2103050415-M_DgEU8xaWf,看到台灣人面對台南大地震的救援行動，令我覺得，台灣真有希望。望天佑台灣人民。 ,02月07日 02:11 ,iPhone 6s,2103050415
89,558,33,"24.779409,121.253029",2103050415-M_DgETu3u1E,每當春晚前夕，我最怀念，也是最想看到的節目，就是以趙本山老師為主演的小品。真是盼望能譲人打心裏笑出來的作品。 ,02月07日 02:10 ,iPhone 6s,2103050415
18,106,0,"24.9536,121.536964",2103050415-M_Df4zjCW4W,投給赵傳。,01月27日 15:51 ,iPhone 6s,2103050415
66,206,10,,2103050415-M_Ddoqq3BVk,我喜歡紫砂壺泡普洱茶。 查看文章,01月16日 14:43 ,iPhone 6s,2103050415
164,782,27,"24.779442,121.253044",2103050415-M_DaRE18hD6,再祝你新年好啊！ ,2015-12-30 23:35:53 ,iPhone 6s,2103050415
0,0,0,,5876752562-M_Dlu24sIUf,Hello Weibo.. [哈哈][哈哈,03月09日 19:42 ,三星android智能手机,5876752562
0,1,1,,3138085045-M_Dmzh65EJR,【】(分享自微淘 星晴数码城 的广播) ,03月16日 22:53 ,手机淘宝,3138085045
0,0,0,,3138085045-M_DluSUAlX3,我刚刚在,03月09日 21:52 ,微博等级,3138085045
0,0,0,,3138085045-M_DluSODWqh,能拿奖品这种事一定要和大家说一说的，否则以后还怎么在一起愉快的玩耍[酷]我刚获得了,03月09日 21:52 ,微博等级,3138085045
0,0,0,,3138085045-M_z6HaYA5B5,1,2012-11-24 18:38:27 ,短信,3Comment,Like,Transfer,Co_oridinates,id,Content,PubTime,Tools,ID
17583,219311,6622,,1197191492-M_DocKcEVHL,小妞发了张她的字给我，我说怎么没写完啊？她说：请填空[汗][汗][汗,03月27日 17:12 ,乐1,1197191492
3143,38888,5981,,1197191492-M_Dnqw0F06m,分享图片,03月22日 14:25 ,iPhone 6s Plus,1197191492
11739,186900,5028,,1197191492-M_Dm5kLlV6h,吃饭时间，给大家晒晒我妈妈做的南昌炒粉和板鸭[挤眼][色,03月13日 18:40 ,iPhone 6s Plus,1197191492
14416,43782,8655,,1197191492-M_Dkyoan3i6,这两天带着我代言的,03月03日 16:57 ,iPhone 6s Plus,1197191492
7048,149818,6440,,1197191492-M_DjMAx6NIz,作文：外婆、妈妈、我[挤眼,02月27日 15:16 ,iPhone 6s Plus,1197191492
15818,164680,8465,,1197191492-M_DiZCrffNT,已经数不清是第几次进牙科医院了，希望这次能够彻底拯救我的牙、也以我的经验教训告诉大家、自己的牙如果健康千万别想着去换美容牙，最多也就贴个薄片，象我这种经历几次全口重建的真的好崩溃[抓狂][抓狂]最后祝福大家元宵节快乐！替我多吃几颗元宵[心][鲜花,02月22日 10:36 ,iPhone 6s Plus,1197191492
9490,220441,6541,,1197191492-M_DhLUfD3KO,Hey ~情人节快乐[鲜花]🍫,02月14日 09:51 ,iPhone 6s Plus,1197191492
9598,216745,7597,,1197191492-M_DhvSDa2bn,为何假期这么短[思考][思考][思考]一晃就过了[哈欠][哈欠][哈欠,02月12日 17:03 ,iPhone 6s Plus,1197191492
16892,223782,12573,,1197191492-M_DgMXBcZCk,水既无形，又有千变，亦能随流，亦可猛击。柔软坚强，水滴石穿。适应万状，无惧险阻。这就是我心中的水，也是我人生的目标，人生，若能像水，上善若水～我是水～,02月07日 22:42 ,iPhone 6s Plus,1197191492
4508,77101,5537,,1197191492-M_DgMGJrKcb,我的,02月07日 22:00 ,秒拍直播,1197191492
3560,79355,719,,1227368500-M_Do5v17FJ8,万年不变自拍右侧…好吧 我大概都能猜到你们的留言[喵喵,03月26日 22:46 ,iPhone 6,1227368500
2026,45013,1059,,1227368500-M_DnTjrizNb,每次 当我很难过的时候 抬头望望天空 就好了～天那么蓝 日子那么美好～为什么要难过[爱你][挤眼,03月25日 15:44 ,iPhone 6,1227368500
729,21297,528,,1227368500-M_DnJEcvuUZ,90°的态度是脚踏实地，180°的态度是正反如一，360°的态度是绝不放过任何一丝空隙。,03月24日 15:08 ,iPhone 6,1227368500
1314,49128,441,,1227368500-M_DnCQEvWc6,开工仙剑临风陆雪琪，收工壮志未酬苏乞儿…,03月23日 21:49 ,iPhone 6,1227368500
1427,58743,587,,1227368500-M_DnjLIxTdq,听说今天是国际睡眠日，真是说不出有多开心[开心]那…我先睡了😴,03月21日 21:15 ,iPhone 6,1227368500
2537,64652,971,,1227368500-M_DkqVj4vuF,一剑伤情十年远  万缕千丝苦与怨,03月02日 21:57 ,iPhone 6,1227368500
3307,51519,562,,1227368500-M_DkeZX63cm,为什么我还没有看到许仙～,03月01日 15:35 ,iPhone 6,1227368500
2340,51994,945,,1227368500-M_DjKQ7hs8c,记得当时接拍《战长沙》的时候，我还在电影学院读书，我很感谢这个角色，帮我带大家重新认识了杨紫，精彩的剧本，完美的角色，当然最重要的就是出色的团队，所以我也非常感谢孔笙导演 和侯大大,02月27日 10:49 ,iPhone 6,1227368500
4408,87720,903,,1227368500-M_DiR4svYru,其实……我是一只安静的měi nǚ zhǐ 嘻嘻嘻嘻,02月21日 12:50 ,iPhone 6,1227368500
2274,90473,581,,1227368500-M_DiAhH1Nu5,piupiu剪了一个狗不理的狗啃发型 不要不开心啦 姐姐理你～爱你爱你[爱心][爱心][爱心,02月19日 18:06 ,iPhone 6,1227368500
4235,67427,4488,,1230663070-M_DooC8tTOe,杀青的战场[哈哈][耶,03月28日 23:25 ,iPhone 6,1230663070
11358,178438,25679,,1230663070-M_Doi0m8KPX,凌晨3:06杀青啦…感恩辛苦付出的每一位…115天…一个让我钦佩，让我欣赏的强大女人——李未央，锦绣未央[威武][给力][good][作揖][拳头][太阳][馋嘴][好棒][赞啊,03月28日 06:36 ,iPhone 6 Plus,1230663070
8354,141701,1415138085045
0,0,0,,5775974583-M_Dny34COy2,互粉 ,03月23日 09:36 ,互粉派对,5775974583
0,0,0,,5775974583-M_Dn1Oun8LA,互粉 ,03月19日 23:32 ,互粉派对,5775974583
0,1,0,,5775974583-M_DmPO7i9h9,我叫彭运徕从事多年试管辅佐生殖技术用专业知识抓住客户的重点阅见多无数疾病心愿需求客户包出生包性别双胞胎QQ3335835064 电话15881090843,03月18日 16:58 ,微博 weibo.com,5775974583
0,0,0,,5775974583-M_DmPO3ogoy,我叫彭运徕从事多年试管辅佐生殖技术用专业知识抓住客户的重点阅见多无数疾病心愿需求客户包出生包性别双胞胎QQ3335835064 电话15881090843,03月18日 16:58 ,微博 weibo.com,5775974583
0,0,0,,5775974583-M_DmlyMqFpp,怎么更好的打造草根微博？能免费转让积分才好办！用推米试试。微博站内应用哦，搜,03月15日 11:58 ,推米互粉,5775974583
0,0,0,,5775974583-M_Dlqm6cddI,发表了博文《长期招聘爱心志愿者》【捐卵志愿者招聘要求】捐卵年龄18-25岁，身高1.60米以上，正规院校大专以上学历，外形靓丽，气质修养好！身体健康无家族遗传病史！无抽烟喝酒夜不归宿等不良生活习惯；。查看文章,03月09日 10:20 ,新浪博客,5775974583
0,0,0,,5775974583-M_DlqlG9Ol0,发表了博文《长期招聘爱心志愿者》【捐卵志愿者招聘要求】捐卵年龄18-25岁，身高1.60米以上，正规院校大专以上学历，外形靓丽，气质修养好！身体健康无家族遗传病史！无抽烟喝酒夜不归宿等不良生活习惯；。,03月09日 10:19 ,新浪博客,5775974583
0,1,0,,5775974583-M_DkF37hS4i,我叫彭运徕从事多年试管辅佐生殖技术用专业知识抓住客户的重点阅见多无数疾病心愿需求客户包出生包性别双胞胎QQ3335835064 电话15881090843,03月04日 09:55 ,微博 weibo.com,5775974583
0,0,0,,5775974583-M_DjCfisMLc,我叫彭运徕从事多年试管辅佐生殖技术用专业知识抓住客户的重点阅见多无数疾病心愿需求客户包出生包性别双胞胎QQ3335835064 电话15881090843,02月26日 12:56 ,微博 weibo.com,5775974583
0,0,0,,5775974583-M_DjCfe2QfE,我叫彭运徕从事多年试管辅佐生殖技术用专业知识抓住客户的重点阅见多无数疾病心愿需求客户包出生包性别双胞胎QQ3335835064 电话15881090843,02月26日 12:56 ,微博 weibo.com,5775974583
0,3,0,,1879400644-M_DnMRD7AJP, good luck to eddie2016[蛋糕]💕☘,03月24日 23:19 ,iPhone 6s,1879400644
2,3,0,,1879400644-M_D7Z39C1un,哆啦A梦微笑,2015-12-12 00:56:09 ,iPhone 6s,1879400644
2,5,0,,1879400644-M_CiKIr1GKJ, 小彭友爱你哟[爱心发光]😛,2015-05-20 21:55:41 ,iPhone 6,1879400644
2,2,0,,2417139911-M_DospRyJ0u,微访谈【预告】3月30日（周三）上午10：00-11：00 ，,4分钟前 ,访谈话题,2417139911
2,2,3,,2417139911-M_Dosc9oFsJ, [话筒]目前，轨道交通国贸站（10号线换1号线）、宣武门站（2号线换4号线）、东单站（1号线换5号线）、惠新西街南口站（10号线换5号线巴沟方向）、海淀黄庄站换乘通道内乘客较多，请您相互谦让，按序通行。（市交通委TOCC提供),38分钟前 ,360安全浏览器,2417139911
0,0,0,,2417139911-M_Dos8Mc1vg, [话筒]目前，京通快速进京方向京通进京跨河桥至双桥路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与京通快速路公司联合提供),46分钟前 ,360安全浏览器,2417139911
0,4,2,,2417139911-M_DorZ6llsG, [话筒]目前，轨道交通国贸站（10号线换1号线）、宣武门站（4号线换2号线）、东单站（5号线换1号线）、惠新西街南口站（10号线换5号线劲松方向）、知春路站换乘通道内乘客较多，请您相互谦让，按序通行。（市交通委TOCC提供),今天 08:00 ,360安全浏览器,2417139911
2,2,4,,2417139911-M_DorWEbxCP, [话筒]目前，全路网交通指数6.5，属于中度拥堵级别，提醒大家尽量选择公共交通出行。,今天 07:54 ,360安全浏览器,2417139911
1,2,0,,2417139911-M_DorR00e6V,3,,1230663070-M_DodXRBC66,杀青前的战场系列二[馋嘴][不好意思] 图五是串姐亲手做的哈哈哈[good]（央妹，帮我艾特提早杀青的每一位，不是我想说…他们错过了太多[嘻嘻][阴险]）,03月27日 20:19 ,iPhone 6 Plus,1230663070
